Host Name,IP Address
debian.unnoba.edu.ar,200.14.116.3
ftp.am.debian.org,93.187.162.100
mirrors.asnet.am,93.187.162.100
ftp.au.debian.org,103.84.224.37
debian.mirror.digitalpacific.com.au,101.0.120.90
mirror.aarnet.edu.au,202.158.214.106
mirror.amaze.com.au,122.252.2.42
mirror.gsl.icu,103.1.215.35
mirror.linux.org.au,103.84.224.37
mirror.overthewire.com.au,139.5.127.195
mirror.realcompute.io,114.141.111.226
mirrors.xtom.au,146.19.0.8
ftp.at.debian.org,213.129.232.18
debian.anexia.at,144.208.213.156
debian.lagis.at,83.164.133.195
debian.mur.at,89.106.208.14
debian.sil.at,213.129.232.18
ftp.tu-graz.ac.at,129.27.3.13
mirror.alwyzon.net,46.102.157.26
ftp.by.debian.org,82.209.230.71
ftp.byfly.by,82.209.230.71
mirror.datacenter.by,178.124.134.106
ftp.be.debian.org,195.234.45.114
ftp.belnet.be,193.190.198.27
mirror.as35701.net,195.234.45.114
ftp.br.debian.org,200.236.31.3
alcateia.ufscar.br,200.136.207.1
debian.c3sl.ufpr.br,200.236.31.3
ftp.bg.debian.org,130.89.148.12
debian.a1.bg,212.50.0.19
debian.ludost.net,185.117.82.66
debian.mnet.bg,84.43.191.5
debian.telecoms.bg,217.79.83.126
ftp.uni-sofia.bg,62.44.96.11
mirrors.netix.net,87.121.121.2
mirror.telepoint.bg,79.124.67.90
ftp.ca.debian.org,64.50.236.52
debian.mirror.iweb.ca,192.175.120.168
debian.mirror.rafal.ca,207.210.46.249
mirror01-pcl-ott1.accuris.ca,23.130.139.5
mirror.csclub.uwaterloo.ca,129.97.134.71
mirror.dst.ca,208.89.84.55
mirror.estone.ca,99.199.64.121
mirror.it.ubc.ca,137.82.116.21
ftp.cl.debian.org,138.204.231.113
debian.redlibre.cl,190.97.171.43
mirror.hnd.cl,138.186.10.35
mirror.insacom.cl,138.204.231.113
mirror.ufro.cl,146.83.205.200
ftp.cn.debian.org,45.125.0.6
mirror.nju.edu.cn,210.28.130.3
mirror.nyist.edu.cn,59.69.128.21
mirrors.163.com,60.191.80.15
mirrors.bfsu.edu.cn,39.155.141.16
mirrors.huaweicloud.com,124.70.125.167
mirrors.jlu.edu.cn,59.72.66.10
mirror.sjtu.edu.cn,111.186.58.212
mirrors.neusoft.edu.cn,219.216.128.25
mirrors.tuna.tsinghua.edu.cn,101.6.15.130
mirrors.ustc.edu.cn,202.141.176.110
mirrors.zju.edu.cn,210.32.159.60
debianmirror.una.ac.cr,45.162.204.37
ftp.hr.debian.org,161.53.160.11
debian.carnet.hr,161.53.160.11
debian.iskon.hr,213.191.133.160
ftp.cz.debian.org,78.128.211.127
debian.mirror.web4u.cz,81.91.81.11
debian.superhosting.cz,95.168.211.41
ftp.cvut.cz,147.32.160.17
ftp.debian.cz,78.128.211.127
ftp.sh.cvut.cz,147.32.127.196
ftp.zcu.cz,147.228.57.10
merlin.fit.vutbr.cz,147.229.176.19
mirror.dkm.cz,89.102.0.150
mirror.it4i.cz,195.113.250.60
mirror-prg.webglobe.com,62.109.128.228
mirrors.nic.cz,217.31.202.63
ftp.dk.debian.org,130.225.254.116
mirror.asergo.com,82.103.189.20
mirror.one.com,46.30.211.12
mirrors.dotsrc.org,130.225.254.116
mirrors.rackhosting.com,77.247.64.34
mirrors.xtom.ee,185.37.252.138
ftp.fi.debian.org,194.71.11.173
www.nic.funet.fi,193.166.3.3
ftp.fr.debian.org,212.27.32.66
debian.apt-mirror.de,46.105.185.24
debian.obspm.fr,145.238.186.56
debian.polytech-lille.fr,193.48.57.38
debian.proxad.net,212.27.32.66
debian.univ-tlse2.fr,193.55.175.161
deb-mir1.naitways.net,149.62.156.14
ftp.ec-m.fr,147.94.19.20
ftp.lip6.fr,132.227.74.17
ftp.rezopole.net,77.95.64.41
ftp.univ-pau.fr,194.167.156.234
ftp.u-picardie.fr,193.49.184.24
ftp.u-strasbg.fr,130.79.200.5
miroir.univ-lorraine.fr,194.214.218.193
mirror.gitoyen.net,80.67.163.159
mirror.ibcp.fr,194.254.245.145
mirror.johnnybegood.fr,136.243.89.31
mirror.plusserver.com,62.138.222.4
mirrors.ircam.fr,129.102.1.37
debian.grena.ge,217.147.227.66
ftp2.de.debian.org,137.226.34.46
ftp.de.debian.org,141.76.2.4
artfiles.org,212.72.164.211
debian.charite.de,193.175.72.15
debian.inf.tu-dresden.de,141.76.2.4
debian.intergenia.de,85.25.128.62
debian.mirror.iphh.net,62.201.161.86
debian.mirror.lrz.de,129.187.10.100
debian.netcologne.de,194.8.197.22
debian.tu-bs.de,134.169.192.5
de.mirrors.clouvider.net,91.199.118.172
ftp.fau.de,131.188.12.211
ftp.gwdg.de,134.76.12.6
ftp.halifax.rwth-aachen.de,137.226.34.46
ftp.hosteurope.de,80.237.136.138
ftp.plusline.net,82.98.66.54
ftp-stud.hs-esslingen.de,129.143.116.10
ftp.tu-chemnitz.de,134.109.228.1
ftp.tu-clausthal.de,139.174.32.6
ftp.uni-bayreuth.de,132.180.8.60
ftp.uni-hannover.de,130.75.2.22
ftp.uni-kl.de,131.246.123.4
ftp.uni-mainz.de,134.93.178.166
ftp.wrz.de,217.243.224.144
mirror.23m.com,212.83.32.30
mirror.de.leaseweb.net,37.58.58.140
mirror.dogado.de,185.3.234.216
mirror.eu.oneandone.net,217.72.206.21
mirror.informatik.tu-freiberg.de,139.20.16.130
mirror.ipb.de,194.29.226.88
mirror.netzwerge.de,185.41.106.155
mirrors.xtom.de,62.133.35.14
mirror.united-gameserver.de,213.202.193.253
mirror.wtnet.de,213.209.102.29
packages.hs-regensburg.de,194.95.104.50
pubmirror.plutex.de,109.69.69.17
debian.otenet.gr,212.205.74.89
ftp.hk.debian.org,45.125.0.6
mirror.xtom.com.hk,45.125.0.6
ftp.bme.hu,152.66.115.246
repo.jztkft.hu,45.67.159.244
ftp.is.debian.org,78.129.164.123
is.mirror.flokinet.net,185.165.170.20
mirrors.iitd.ac.in,103.27.9.153
kartolo.sby.datautama.net.id,123.255.202.74
kebo.pens.ac.id,202.9.85.18
mirror.poliwangi.ac.id,103.109.210.9
mirror.unair.ac.id,210.57.214.83
mr.heru.id,103.155.117.110
debian.hostiran.ir,185.173.106.68
debian.parspack.com,185.204.197.108
debian.interhost.co.il,185.37.148.245
ftp.it.debian.org,85.94.199.210
debian.dynamica.it,151.0.128.28
debian.mirror.garr.it,90.147.160.72
ftp.linux.it,85.94.199.210
giano.com.dist.unige.it,130.251.19.2
mirror.units.it,140.105.48.55
ftp.jp.debian.org,133.5.166.3
debian-mirror.sakura.ne.jp,153.127.75.11
ftp.kddilabs.jp,192.26.91.193
ftp.nara.wide.ad.jp,203.178.137.175
ftp.riken.jp,134.160.38.1
mirrors.xtom.jp,45.14.106.5
repo.jing.rocks,106.178.112.231
mirror.hoster.kz,194.146.42.42
mirror.ps.kz,195.210.46.141
debian.mirror.ac.ke,41.89.1.207
debian.mirror.liquidtelecom.com,197.155.77.1
ftp.kr.debian.org,103.22.220.133
ftp.kaist.ac.kr,103.22.220.133
mirror.siwoo.org,218.159.243.120
debian.koyanet.lv,89.111.47.130
mirror.cloudhosting.lv,91.220.43.19
ftp.lt.debian.org,158.129.159.169
debian.balt.net,195.14.170.170
debian.mirror.vu.lt,158.129.159.169
mirror.litnet.lt,83.171.20.4
mirror.vpsnet.com,91.211.244.15
debian.mirror.root.lu,195.24.74.198
mirror-mk.interspace.com,185.232.120.23
mirror.onevip.mk,146.255.69.2
ftp.md.debian.org,178.17.160.48
mirror.as43289.net,178.17.160.48
ftp.nl.debian.org,130.89.149.21
debian.snt.utwente.nl,130.89.149.21
mirror.duocast.net,83.137.149.3
mirror.i3d.net,104.153.87.214
mirror.nl.datapacket.com,185.229.191.144
mirror.nl.leaseweb.net,5.79.108.33
mirror.seedvps.com,185.248.160.60
mirrors.hostiserver.com,45.84.31.11
mirrors.xtom.nl,78.142.193.130
nl.mirrors.clouvider.net,194.127.172.131
ftp.nc.debian.org,103.2.186.80
debian.nautile.nc,103.2.186.80
mirror.lagoon.nc,202.22.159.9
ftp.nz.debian.org,163.7.134.112
linux.purple-cat.net,182.54.165.104
mirror.fsmg.org.nz,163.7.134.112
ftp.no.debian.org,129.240.118.47
ftp.uio.no,129.240.118.47
ftp.pl.debian.org,153.19.251.221
debian.inhost.pro,109.196.112.157
ftp.agh.edu.pl,149.156.96.11
ftp.icm.edu.pl,193.219.28.2
ftp.psnc.pl,150.254.173.17
ftp.task.gda.pl,153.19.251.222
