time,frame_number,protocol,source,destination,length,ttl,source_port,destination_port,tcp_flags,dns_query,dns_response,http_request_method,http_host,http_user_agent,ssl_version,tls_handshake_type
1711166312.551031,1,TCP,23.51.48.120,192.168.1.53,74,52,443,52641,18,,,,,,,
1711166312.55114,2,TCP,192.168.1.53,23.51.48.120,66,64,52641,443,16,,,,,,,
1711166312.560706,3,TLS,192.168.1.53,23.51.48.120,583,64,52641,443,24,,,,,,,1
1711166312.632738,4,TCP,23.51.48.120,192.168.1.53,66,52,443,52641,16,,,,,,,
1711166312.632752,5,TLS,23.51.48.120,192.168.1.53,1514,52,443,52641,16,,,,,,,2
1711166312.632756,6,TCP,23.51.48.120,192.168.1.53,1514,52,443,52641,24,,,,,,,
1711166312.632759,7,TLS,23.51.48.120,192.168.1.53,1266,52,443,52641,24,,,,,,,
1711166312.632763,8,TLS,23.51.48.120,192.168.1.53,184,52,443,52641,24,,,,,,,
1711166312.632882,9,TCP,192.168.1.53,23.51.48.120,66,64,52641,443,16,,,,,,,
1711166312.633547,10,TCP,192.168.1.53,23.51.48.120,66,64,52641,443,16,,,,,,,
