time,frame_number,protocol,source,destination,length,ttl,source_port,destination_port,tcp_flags,dns_query,dns_response,http_request_method,http_host,http_user_agent,ssl_version,tls_handshake_type
1711166238.299674,1,TCP,192.168.1.53,23.50.153.34,66,64,52509,443,16,,,,,,,
1711166238.299947,2,TCP,192.168.1.53,23.50.153.34,66,64,52509,443,16,,,,,,,
1711166238.302282,3,TLS,23.50.153.34,192.168.1.53,1514,52,443,52509,16,,,,,,,
1711166238.302288,4,TLS,23.50.153.34,192.168.1.53,1514,52,443,52509,16,,,,,,,
1711166238.302291,5,TLS,23.50.153.34,192.168.1.53,1514,52,443,52509,16,,,,,,,
1711166238.302298,6,TLS,23.50.153.34,192.168.1.53,1514,52,443,52509,16,,,,,,,
1711166238.302301,7,TLS,23.50.153.34,192.168.1.53,1514,52,443,52509,24,,,,,,,
1711166238.302304,8,TLS,23.50.153.34,192.168.1.53,1514,52,443,52509,16,,,,,,,
1711166238.302307,9,TLS,23.50.153.34,192.168.1.53,1514,52,443,52509,16,,,,,,,
1711166238.30231,10,TLS,23.50.153.34,192.168.1.53,1514,52,443,52509,16,,,,,,,
