time,frame_number,protocol,source,destination,length,ttl,source_port,destination_port,tcp_flags,dns_query,dns_response,http_request_method,http_host,http_user_agent,ssl_version,tls_handshake_type
1711166263.32943,1,TLS,,,1294,,443,52553,16,,,,,,,
1711166263.329438,2,TLS,,,1004,,443,52553,24,,,,,,,
1711166263.32944,3,TLS,,,1294,,443,52553,16,,,,,,,
1711166263.329442,4,TCP,,,1294,,443,52553,16,,,,,,,
1711166263.329444,5,TLS,,,709,,443,52553,24,,,,,,,
1711166263.32953,6,TCP,,,86,,52553,443,16,,,,,,,
1711166263.330145,7,TCP,,,86,,52553,443,16,,,,,,,
1711166263.354179,8,TLS,,,1294,,443,52553,16,,,,,,,
1711166263.354187,9,TLS,,,554,,443,52553,24,,,,,,,
1711166263.354189,10,TLS,,,709,,443,52553,24,,,,,,,
