time,frame_number,protocol,source,destination,length,ttl,source_port,destination_port,tcp_flags,dns_query,dns_response,http_request_method,http_host,http_user_agent,ssl_version,tls_handshake_type
1711166225.639115,1,TCP,,,86,,443,52494,16,,,,,,,
1711166225.684717,2,TLS,140.82.113.22,192.168.1.53,540,47,443,52467,24,,,,,,,
1711166225.684803,3,TCP,192.168.1.53,140.82.113.22,66,64,52467,443,16,,,,,,,
1711166225.702105,4,TLS,,,1494,,443,52494,16,,,,,,,
1711166225.702113,5,TCP,,,1494,,443,52494,16,,,,,,,
1711166225.702115,6,TCP,,,1494,,443,52494,24,,,,,,,
1711166225.702117,7,TCP,,,1494,,443,52494,16,,,,,,,
1711166225.702119,8,TCP,,,1494,,443,52494,16,,,,,,,
1711166225.702121,9,TCP,,,1494,,443,52494,24,,,,,,,
1711166225.702123,10,TCP,,,1494,,443,52494,16,,,,,,,
