time,frame_number,protocol,source,destination,length,ttl,source_port,destination_port,tcp_flags,dns_query,dns_response,http_request_method,http_host,http_user_agent,ssl_version,tls_handshake_type
1711166288.599804,1,TLS,,,1494,,443,52598,16,,,,,,,
1711166288.599813,2,TLS,,,709,,443,52598,24,,,,,,,
1711166288.599815,3,TLS,,,166,,443,52598,24,,,,,,,
1711166288.599816,4,TLS,,,1494,,443,52598,16,,,,,,,
1711166288.599819,5,TCP,,,1494,,443,52598,24,,,,,,,
1711166288.599821,6,TCP,,,1494,,443,52598,16,,,,,,,
1711166288.599823,7,TCP,,,1494,,443,52598,24,,,,,,,
1711166288.599825,8,TCP,,,1494,,443,52598,16,,,,,,,
1711166288.599827,9,TCP,,,1494,,443,52598,24,,,,,,,
1711166288.599829,10,TCP,,,1494,,443,52598,16,,,,,,,
