time,frame_number,protocol,source,destination,length,ttl,source_port,destination_port,tcp_flags,dns_query,dns_response,http_request_method,http_host,http_user_agent,ssl_version,tls_handshake_type
1711166300.481406,1,DNS,,,106,,53,64603,,nypost.com,,,,,,
1711166300.48201,2,TCP,192.168.1.53,192.0.66.32,78,64,52616,443,2,,,,,,,
1711166300.489394,3,TCP,192.0.66.32,192.168.1.53,66,55,443,52616,18,,,,,,,
1711166300.489486,4,TCP,192.168.1.53,192.0.66.32,54,64,52616,443,16,,,,,,,
1711166300.494855,5,TLS,192.168.1.53,192.0.66.32,571,64,52616,443,24,,,,,,,1
1711166300.509047,6,TCP,192.0.66.32,192.168.1.53,60,55,443,52616,16,,,,,,,
1711166300.509054,7,TLS,192.0.66.32,192.168.1.53,1514,55,443,52616,16,,,,,,,2
1711166300.509056,8,TCP,192.0.66.32,192.168.1.53,1514,55,443,52616,16,,,,,,,
1711166300.509058,9,TLS,192.0.66.32,192.168.1.53,1230,55,443,52616,24,,,,,,,
1711166300.509059,10,TLS,192.0.66.32,192.168.1.53,109,55,443,52616,24,,,,,,,
