time,frame_number,protocol,source,destination,length,ttl,source_port,destination_port,tcp_flags,dns_query,dns_response,http_request_method,http_host,http_user_agent,ssl_version,tls_handshake_type
1711166212.790232,1,TLS,192.168.1.53,3.68.61.181,120,64,51764,443,24,,,,,,,
1711166212.80726,2,TCP,3.68.61.181,192.168.1.53,66,51,443,51764,16,,,,,,,
1711166212.807267,3,TLS,3.68.61.181,192.168.1.53,122,51,443,51764,24,,,,,,,
1711166212.807354,4,TCP,192.168.1.53,3.68.61.181,66,64,51764,443,16,,,,,,,
1711166213.804612,5,TLS,192.168.1.53,140.82.113.22,1490,64,52467,443,16,,,,,,,
1711166213.804618,6,TCP,192.168.1.53,140.82.113.22,1490,64,52467,443,16,,,,,,,
1711166213.80462,7,TCP,192.168.1.53,140.82.113.22,1490,64,52467,443,16,,,,,,,
1711166213.804621,8,TCP,192.168.1.53,140.82.113.22,1490,64,52467,443,16,,,,,,,
1711166213.804622,9,TCP,192.168.1.53,140.82.113.22,1490,64,52467,443,16,,,,,,,
1711166213.804624,10,TCP,192.168.1.53,140.82.113.22,1490,64,52467,443,16,,,,,,,
