address_a,address_b,port_a,port_b,bytes,packets,start,duration,label,ip.proto,ip.len,frame.time
192.168.1.54,192.0.66.32,51933,443,78,1,2024-03-25 05:38:06.730799,0,nypost,6,64,2024-03-25 05:38:06.730799
192.0.66.32,192.168.1.54,443,51933,66,1,2024-03-25 05:38:06.738487,0,nypost,6,52,2024-03-25 05:38:06.738487
192.168.1.54,192.0.66.32,51933,443,54,1,2024-03-25 05:38:06.738647,0,nypost,6,40,2024-03-25 05:38:06.738647
192.168.1.54,192.0.66.32,51933,443,378,1,2024-03-25 05:38:06.739108,0,nypost,6,364,2024-03-25 05:38:06.739108
192.0.66.32,192.168.1.54,443,51933,60,1,2024-03-25 05:38:06.752497,0,nypost,6,40,2024-03-25 05:38:06.752497
192.0.66.32,192.168.1.54,443,51933,1514,1,2024-03-25 05:38:06.752501,0,nypost,6,1500,2024-03-25 05:38:06.752501
192.0.66.32,192.168.1.54,443,51933,1514,1,2024-03-25 05:38:06.752503,0,nypost,6,1500,2024-03-25 05:38:06.752503
192.0.66.32,192.168.1.54,443,51933,1230,1,2024-03-25 05:38:06.752505,0,nypost,6,1216,2024-03-25 05:38:06.752505
192.0.66.32,192.168.1.54,443,51933,86,1,2024-03-25 05:38:06.752507,0,nypost,6,72,2024-03-25 05:38:06.752507
192.168.1.54,192.0.66.32,51933,443,54,1,2024-03-25 05:38:06.752636,0,nypost,6,40,2024-03-25 05:38:06.752636
192.168.1.54,192.0.66.32,51933,443,54,1,2024-03-25 05:38:06.754441,0,nypost,6,40,2024-03-25 05:38:06.754441
192.168.1.54,192.0.66.32,51933,443,60,1,2024-03-25 05:38:06.754564,0,nypost,6,46,2024-03-25 05:38:06.754564
192.168.1.54,192.0.66.32,51933,443,112,1,2024-03-25 05:38:06.754653,0,nypost,6,98,2024-03-25 05:38:06.754653
192.168.1.54,192.0.66.32,51933,443,140,1,2024-03-25 05:38:06.754836,0,nypost,6,126,2024-03-25 05:38:06.754836
192.168.1.54,192.0.66.32,51933,443,116,1,2024-03-25 05:38:06.754951,0,nypost,6,102,2024-03-25 05:38:06.754951
192.0.66.32,192.168.1.54,443,51933,60,1,2024-03-25 05:38:06.762296,0,nypost,6,40,2024-03-25 05:38:06.762296
192.0.66.32,192.168.1.54,443,51933,325,1,2024-03-25 05:38:06.762303,0,nypost,6,311,2024-03-25 05:38:06.762303
192.0.66.32,192.168.1.54,443,51933,325,1,2024-03-25 05:38:06.762307,0,nypost,6,311,2024-03-25 05:38:06.762307
192.0.66.32,192.168.1.54,443,51933,116,1,2024-03-25 05:38:06.762310,0,nypost,6,102,2024-03-25 05:38:06.762310
192.0.66.32,192.168.1.54,443,51933,85,1,2024-03-25 05:38:06.762314,0,nypost,6,71,2024-03-25 05:38:06.762314
192.0.66.32,192.168.1.54,443,51933,543,1,2024-03-25 05:38:06.762318,0,nypost,6,529,2024-03-25 05:38:06.762318
192.168.1.54,192.0.66.32,51933,443,54,1,2024-03-25 05:38:06.762477,0,nypost,6,40,2024-03-25 05:38:06.762477
192.168.1.54,192.0.66.32,51933,443,54,1,2024-03-25 05:38:06.762592,0,nypost,6,40,2024-03-25 05:38:06.762592
192.168.1.54,192.0.66.32,51933,443,54,1,2024-03-25 05:38:06.762651,0,nypost,6,40,2024-03-25 05:38:06.762651
192.168.1.54,192.0.66.32,51933,443,85,1,2024-03-25 05:38:06.762839,0,nypost,6,71,2024-03-25 05:38:06.762839
192.168.1.54,192.0.66.32,51933,443,78,1,2024-03-25 05:38:06.763114,0,nypost,6,64,2024-03-25 05:38:06.763114
192.168.1.54,192.0.66.32,51933,443,54,1,2024-03-25 05:38:06.765181,0,nypost,6,40,2024-03-25 05:38:06.765181
192.0.66.32,192.168.1.54,443,51933,60,1,2024-03-25 05:38:06.769505,0,nypost,6,40,2024-03-25 05:38:06.769505
192.0.66.32,192.168.1.54,443,51933,60,1,2024-03-25 05:38:06.769510,0,nypost,6,40,2024-03-25 05:38:06.769510
192.0.66.32,192.168.1.54,443,51933,60,1,2024-03-25 05:38:06.769512,0,nypost,6,40,2024-03-25 05:38:06.769512
192.168.1.54,192.0.66.32,51933,443,54,1,2024-03-25 05:38:06.769647,0,nypost,6,40,2024-03-25 05:38:06.769647
192.168.1.54,192.0.66.32,51934,443,78,1,2024-03-25 05:38:07.802277,0,nypost,6,64,2024-03-25 05:38:07.802277
192.0.66.32,192.168.1.54,443,51934,66,1,2024-03-25 05:38:07.813936,0,nypost,6,52,2024-03-25 05:38:07.813936
192.168.1.54,192.0.66.32,51934,443,54,1,2024-03-25 05:38:07.814096,0,nypost,6,40,2024-03-25 05:38:07.814096
192.168.1.54,192.0.66.32,51934,443,378,1,2024-03-25 05:38:07.814600,0,nypost,6,364,2024-03-25 05:38:07.814600
192.0.66.32,192.168.1.54,443,51934,60,1,2024-03-25 05:38:07.829560,0,nypost,6,40,2024-03-25 05:38:07.829560
192.0.66.32,192.168.1.54,443,51934,1514,1,2024-03-25 05:38:07.829575,0,nypost,6,1500,2024-03-25 05:38:07.829575
192.0.66.32,192.168.1.54,443,51934,1514,1,2024-03-25 05:38:07.829579,0,nypost,6,1500,2024-03-25 05:38:07.829579
192.0.66.32,192.168.1.54,443,51934,1230,1,2024-03-25 05:38:07.829583,0,nypost,6,1216,2024-03-25 05:38:07.829583
192.0.66.32,192.168.1.54,443,51934,86,1,2024-03-25 05:38:07.829587,0,nypost,6,72,2024-03-25 05:38:07.829587
192.168.1.54,192.0.66.32,51934,443,54,1,2024-03-25 05:38:07.829766,0,nypost,6,40,2024-03-25 05:38:07.829766
192.168.1.54,192.0.66.32,51934,443,54,1,2024-03-25 05:38:07.832117,0,nypost,6,40,2024-03-25 05:38:07.832117
192.168.1.54,192.0.66.32,51934,443,60,1,2024-03-25 05:38:07.832291,0,nypost,6,46,2024-03-25 05:38:07.832291
