ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,bytes,packets,start,duration,label,ip.proto,ip.len,frame.time
172.28.0.12,169.254.169.254,,,47337,53,74,1,2024-03-26 03:14:46.368447,0,nypost,17,60,2024-03-26 03:14:46.368447
172.28.0.12,169.254.169.254,,,56721,53,74,1,2024-03-26 03:14:46.368455,0,nypost,17,60,2024-03-26 03:14:46.368455
169.254.169.254,172.28.0.12,,,53,56721,90,1,2024-03-26 03:14:46.369115,0,nypost,17,76,2024-03-26 03:14:46.369115
169.254.169.254,172.28.0.12,,,53,47337,158,1,2024-03-26 03:14:46.385475,0,nypost,17,144,2024-03-26 03:14:46.385475
172.28.0.12,192.0.66.32,45550,443,,,74,1,2024-03-26 03:14:46.385805,0,nypost,6,60,2024-03-26 03:14:46.385805
192.0.66.32,172.28.0.12,443,45550,,,66,1,2024-03-26 03:14:46.400517,0,nypost,6,52,2024-03-26 03:14:46.400517
172.28.0.12,192.0.66.32,45550,443,,,54,1,2024-03-26 03:14:46.400544,0,nypost,6,40,2024-03-26 03:14:46.400544
172.28.0.12,192.0.66.32,45550,443,,,571,1,2024-03-26 03:14:46.454589,0,nypost,6,557,2024-03-26 03:14:46.454589
192.0.66.32,172.28.0.12,443,45550,,,54,1,2024-03-26 03:14:46.468714,0,nypost,6,40,2024-03-26 03:14:46.468714
192.0.66.32,172.28.0.12,443,45550,,,2974,1,2024-03-26 03:14:46.469879,0,nypost,6,2960,2024-03-26 03:14:46.469879
172.28.0.12,192.0.66.32,45550,443,,,54,1,2024-03-26 03:14:46.469910,0,nypost,6,40,2024-03-26 03:14:46.469910
192.0.66.32,172.28.0.12,443,45550,,,1230,1,2024-03-26 03:14:46.469882,0,nypost,6,1216,2024-03-26 03:14:46.469882
172.28.0.12,192.0.66.32,45550,443,,,54,1,2024-03-26 03:14:46.469922,0,nypost,6,40,2024-03-26 03:14:46.469922
192.0.66.32,172.28.0.12,443,45550,,,102,1,2024-03-26 03:14:46.469969,0,nypost,6,88,2024-03-26 03:14:46.469969
172.28.0.12,192.0.66.32,45550,443,,,54,1,2024-03-26 03:14:46.469975,0,nypost,6,40,2024-03-26 03:14:46.469975
172.28.0.12,192.0.66.32,45550,443,,,134,1,2024-03-26 03:14:46.474887,0,nypost,6,120,2024-03-26 03:14:46.474887
172.28.0.12,192.0.66.32,45550,443,,,100,1,2024-03-26 03:14:46.475058,0,nypost,6,86,2024-03-26 03:14:46.475058
172.28.0.12,192.0.66.32,45550,443,,,103,1,2024-03-26 03:14:46.475088,0,nypost,6,89,2024-03-26 03:14:46.475088
172.28.0.12,192.0.66.32,45550,443,,,89,1,2024-03-26 03:14:46.475107,0,nypost,6,75,2024-03-26 03:14:46.475107
172.28.0.12,192.0.66.32,45550,443,,,116,1,2024-03-26 03:14:46.475152,0,nypost,6,102,2024-03-26 03:14:46.475152
192.0.66.32,172.28.0.12,443,45550,,,341,1,2024-03-26 03:14:46.489033,0,nypost,6,327,2024-03-26 03:14:46.489033
192.0.66.32,172.28.0.12,443,45550,,,341,1,2024-03-26 03:14:46.489034,0,nypost,6,327,2024-03-26 03:14:46.489034
192.0.66.32,172.28.0.12,443,45550,,,54,1,2024-03-26 03:14:46.489084,0,nypost,6,40,2024-03-26 03:14:46.489084
192.0.66.32,172.28.0.12,443,45550,,,116,1,2024-03-26 03:14:46.489165,0,nypost,6,102,2024-03-26 03:14:46.489165
172.28.0.12,192.0.66.32,45550,443,,,54,1,2024-03-26 03:14:46.489204,0,nypost,6,40,2024-03-26 03:14:46.489204
172.28.0.12,192.0.66.32,45550,443,,,85,1,2024-03-26 03:14:46.489234,0,nypost,6,71,2024-03-26 03:14:46.489234
192.0.66.32,172.28.0.12,443,45550,,,85,1,2024-03-26 03:14:46.489302,0,nypost,6,71,2024-03-26 03:14:46.489302
192.0.66.32,172.28.0.12,443,45550,,,541,1,2024-03-26 03:14:46.489444,0,nypost,6,527,2024-03-26 03:14:46.489444
172.28.0.12,192.0.66.32,45550,443,,,54,1,2024-03-26 03:14:46.489460,0,nypost,6,40,2024-03-26 03:14:46.489460
172.28.0.12,192.0.66.32,45550,443,,,78,1,2024-03-26 03:14:46.489624,0,nypost,6,64,2024-03-26 03:14:46.489624
172.28.0.12,192.0.66.32,45550,443,,,54,1,2024-03-26 03:14:46.490278,0,nypost,6,40,2024-03-26 03:14:46.490278
192.0.66.32,172.28.0.12,443,45550,,,54,1,2024-03-26 03:14:46.503585,0,nypost,6,40,2024-03-26 03:14:46.503585
192.0.66.32,172.28.0.12,443,45550,,,54,1,2024-03-26 03:14:46.503641,0,nypost,6,40,2024-03-26 03:14:46.503641
172.28.0.12,192.0.66.32,45550,443,,,54,1,2024-03-26 03:14:46.503648,0,nypost,6,40,2024-03-26 03:14:46.503648
192.0.66.32,172.28.0.12,443,45550,,,54,1,2024-03-26 03:14:46.504239,0,nypost,6,40,2024-03-26 03:14:46.504239
172.28.0.12,169.254.169.254,,,38730,53,74,1,2024-03-26 03:14:47.504118,0,nypost,17,60,2024-03-26 03:14:47.504118
172.28.0.12,169.254.169.254,,,57736,53,74,1,2024-03-26 03:14:47.504567,0,nypost,17,60,2024-03-26 03:14:47.504567
169.254.169.254,172.28.0.12,,,53,38730,90,1,2024-03-26 03:14:47.504801,0,nypost,17,76,2024-03-26 03:14:47.504801
169.254.169.254,172.28.0.12,,,53,57736,158,1,2024-03-26 03:14:47.505026,0,nypost,17,144,2024-03-26 03:14:47.505026
172.28.0.12,192.0.66.32,45562,443,,,74,1,2024-03-26 03:14:47.505336,0,nypost,6,60,2024-03-26 03:14:47.505336
192.0.66.32,172.28.0.12,443,45562,,,66,1,2024-03-26 03:14:47.519636,0,nypost,6,52,2024-03-26 03:14:47.519636
172.28.0.12,192.0.66.32,45562,443,,,54,1,2024-03-26 03:14:47.519667,0,nypost,6,40,2024-03-26 03:14:47.519667
172.28.0.12,192.0.66.32,45562,443,,,571,1,2024-03-26 03:14:47.573780,0,nypost,6,557,2024-03-26 03:14:47.573780
192.0.66.32,172.28.0.12,443,45562,,,54,1,2024-03-26 03:14:47.588125,0,nypost,6,40,2024-03-26 03:14:47.588125
192.0.66.32,172.28.0.12,443,45562,,,2974,1,2024-03-26 03:14:47.589241,0,nypost,6,2960,2024-03-26 03:14:47.589241
172.28.0.12,192.0.66.32,45562,443,,,54,1,2024-03-26 03:14:47.589254,0,nypost,6,40,2024-03-26 03:14:47.589254
192.0.66.32,172.28.0.12,443,45562,,,1230,1,2024-03-26 03:14:47.589242,0,nypost,6,1216,2024-03-26 03:14:47.589242
172.28.0.12,192.0.66.32,45562,443,,,54,1,2024-03-26 03:14:47.589261,0,nypost,6,40,2024-03-26 03:14:47.589261
192.0.66.32,172.28.0.12,443,45562,,,104,1,2024-03-26 03:14:47.589243,0,nypost,6,90,2024-03-26 03:14:47.589243
