ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,bytes,packets,start,duration,label,ip.proto,ip.len,frame.time
172.28.0.12,169.254.169.254,,,46798,53,72,1,2024-03-27 01:04:22.312395,0,ndtv,17,58,2024-03-27 01:04:22.312395
172.28.0.12,169.254.169.254,,,55959,53,72,1,2024-03-27 01:04:22.312717,0,ndtv,17,58,2024-03-27 01:04:22.312717
169.254.169.254,172.28.0.12,,,53,46798,88,1,2024-03-27 01:04:22.312985,0,ndtv,17,74,2024-03-27 01:04:22.312985
169.254.169.254,172.28.0.12,,,53,55959,128,1,2024-03-27 01:04:22.356483,0,ndtv,17,114,2024-03-27 01:04:22.356483
172.28.0.12,23.60.105.65,45088,443,,,74,1,2024-03-27 01:04:22.356997,0,ndtv,6,60,2024-03-27 01:04:22.356997
23.60.105.65,172.28.0.12,443,45088,,,74,1,2024-03-27 01:04:22.393836,0,ndtv,6,60,2024-03-27 01:04:22.393836
172.28.0.12,23.60.105.65,45088,443,,,66,1,2024-03-27 01:04:22.393870,0,ndtv,6,52,2024-03-27 01:04:22.393870
172.28.0.12,23.60.105.65,45088,443,,,583,1,2024-03-27 01:04:22.449014,0,ndtv,6,569,2024-03-27 01:04:22.449014
23.60.105.65,172.28.0.12,443,45088,,,66,1,2024-03-27 01:04:22.485183,0,ndtv,6,52,2024-03-27 01:04:22.485183
23.60.105.65,172.28.0.12,443,45088,,,2962,1,2024-03-27 01:04:22.486509,0,ndtv,6,2948,2024-03-27 01:04:22.486509
172.28.0.12,23.60.105.65,45088,443,,,66,1,2024-03-27 01:04:22.486524,0,ndtv,6,52,2024-03-27 01:04:22.486524
23.60.105.65,172.28.0.12,443,45088,,,841,1,2024-03-27 01:04:22.486953,0,ndtv,6,827,2024-03-27 01:04:22.486953
172.28.0.12,23.60.105.65,45088,443,,,66,1,2024-03-27 01:04:22.486968,0,ndtv,6,52,2024-03-27 01:04:22.486968
172.28.0.12,23.60.105.65,45088,443,,,146,1,2024-03-27 01:04:22.488598,0,ndtv,6,132,2024-03-27 01:04:22.488598
172.28.0.12,23.60.105.65,45088,443,,,112,1,2024-03-27 01:04:22.488751,0,ndtv,6,98,2024-03-27 01:04:22.488751
172.28.0.12,23.60.105.65,45088,443,,,115,1,2024-03-27 01:04:22.488769,0,ndtv,6,101,2024-03-27 01:04:22.488769
172.28.0.12,23.60.105.65,45088,443,,,101,1,2024-03-27 01:04:22.488781,0,ndtv,6,87,2024-03-27 01:04:22.488781
172.28.0.12,23.60.105.65,45088,443,,,127,1,2024-03-27 01:04:22.488809,0,ndtv,6,113,2024-03-27 01:04:22.488809
23.60.105.65,172.28.0.12,443,45088,,,353,1,2024-03-27 01:04:22.524967,0,ndtv,6,339,2024-03-27 01:04:22.524967
23.60.105.65,172.28.0.12,443,45088,,,353,1,2024-03-27 01:04:22.525000,0,ndtv,6,339,2024-03-27 01:04:22.525000
172.28.0.12,23.60.105.65,45088,443,,,66,1,2024-03-27 01:04:22.525173,0,ndtv,6,52,2024-03-27 01:04:22.525173
23.60.105.65,172.28.0.12,443,45088,,,127,1,2024-03-27 01:04:22.528776,0,ndtv,6,113,2024-03-27 01:04:22.528776
23.60.105.65,172.28.0.12,443,45088,,,97,1,2024-03-27 01:04:22.528809,0,ndtv,6,83,2024-03-27 01:04:22.528809
23.60.105.65,172.28.0.12,443,45088,,,351,1,2024-03-27 01:04:22.528810,0,ndtv,6,337,2024-03-27 01:04:22.528810
23.60.105.65,172.28.0.12,443,45088,,,463,1,2024-03-27 01:04:22.528838,0,ndtv,6,449,2024-03-27 01:04:22.528838
172.28.0.12,23.60.105.65,45088,443,,,97,1,2024-03-27 01:04:22.528921,0,ndtv,6,83,2024-03-27 01:04:22.528921
172.28.0.12,23.60.105.65,45088,443,,,90,1,2024-03-27 01:04:22.529171,0,ndtv,6,76,2024-03-27 01:04:22.529171
172.28.0.12,23.60.105.65,45088,443,,,66,1,2024-03-27 01:04:22.530144,0,ndtv,6,52,2024-03-27 01:04:22.530144
23.60.105.65,172.28.0.12,443,45088,,,66,1,2024-03-27 01:04:22.565240,0,ndtv,6,52,2024-03-27 01:04:22.565240
23.60.105.65,172.28.0.12,443,45088,,,90,1,2024-03-27 01:04:22.565310,0,ndtv,6,76,2024-03-27 01:04:22.565310
172.28.0.12,23.60.105.65,45088,443,,,54,1,2024-03-27 01:04:22.565329,0,ndtv,6,40,2024-03-27 01:04:22.565329
23.60.105.65,172.28.0.12,443,45088,,,66,1,2024-03-27 01:04:22.565638,0,ndtv,6,52,2024-03-27 01:04:22.565638
172.28.0.12,23.60.105.65,45088,443,,,54,1,2024-03-27 01:04:22.565643,0,ndtv,6,40,2024-03-27 01:04:22.565643
23.60.105.65,172.28.0.12,443,45088,,,66,1,2024-03-27 01:04:22.566159,0,ndtv,6,52,2024-03-27 01:04:22.566159
172.28.0.12,23.60.105.65,45088,443,,,54,1,2024-03-27 01:04:22.566163,0,ndtv,6,40,2024-03-27 01:04:22.566163
172.28.0.12,169.254.169.254,,,35587,53,72,1,2024-03-27 01:04:23.540927,0,ndtv,17,58,2024-03-27 01:04:23.540927
172.28.0.12,169.254.169.254,,,57927,53,72,1,2024-03-27 01:04:23.540932,0,ndtv,17,58,2024-03-27 01:04:23.540932
169.254.169.254,172.28.0.12,,,53,57927,88,1,2024-03-27 01:04:23.541614,0,ndtv,17,74,2024-03-27 01:04:23.541614
169.254.169.254,172.28.0.12,,,53,35587,128,1,2024-03-27 01:04:23.541621,0,ndtv,17,114,2024-03-27 01:04:23.541621
172.28.0.12,23.60.105.65,45094,443,,,74,1,2024-03-27 01:04:23.542055,0,ndtv,6,60,2024-03-27 01:04:23.542055
23.60.105.65,172.28.0.12,443,45094,,,74,1,2024-03-27 01:04:23.578139,0,ndtv,6,60,2024-03-27 01:04:23.578139
172.28.0.12,23.60.105.65,45094,443,,,66,1,2024-03-27 01:04:23.578175,0,ndtv,6,52,2024-03-27 01:04:23.578175
172.28.0.12,23.60.105.65,45094,443,,,583,1,2024-03-27 01:04:23.635399,0,ndtv,6,569,2024-03-27 01:04:23.635399
23.60.105.65,172.28.0.12,443,45094,,,66,1,2024-03-27 01:04:23.671502,0,ndtv,6,52,2024-03-27 01:04:23.671502
23.60.105.65,172.28.0.12,443,45094,,,2962,1,2024-03-27 01:04:23.672685,0,ndtv,6,2948,2024-03-27 01:04:23.672685
172.28.0.12,23.60.105.65,45094,443,,,66,1,2024-03-27 01:04:23.672699,0,ndtv,6,52,2024-03-27 01:04:23.672699
23.60.105.65,172.28.0.12,443,45094,,,841,1,2024-03-27 01:04:23.672686,0,ndtv,6,827,2024-03-27 01:04:23.672686
172.28.0.12,23.60.105.65,45094,443,,,66,1,2024-03-27 01:04:23.672704,0,ndtv,6,52,2024-03-27 01:04:23.672704
172.28.0.12,23.60.105.65,45094,443,,,146,1,2024-03-27 01:04:23.674630,0,ndtv,6,132,2024-03-27 01:04:23.674630
172.28.0.12,23.60.105.65,45094,443,,,112,1,2024-03-27 01:04:23.674792,0,ndtv,6,98,2024-03-27 01:04:23.674792
172.28.0.12,23.60.105.65,45094,443,,,115,1,2024-03-27 01:04:23.674812,0,ndtv,6,101,2024-03-27 01:04:23.674812
172.28.0.12,23.60.105.65,45094,443,,,101,1,2024-03-27 01:04:23.674824,0,ndtv,6,87,2024-03-27 01:04:23.674824
172.28.0.12,23.60.105.65,45094,443,,,127,1,2024-03-27 01:04:23.674854,0,ndtv,6,113,2024-03-27 01:04:23.674854
23.60.105.65,172.28.0.12,443,45094,,,353,1,2024-03-27 01:04:23.710846,0,ndtv,6,339,2024-03-27 01:04:23.710846
23.60.105.65,172.28.0.12,443,45094,,,353,1,2024-03-27 01:04:23.710920,0,ndtv,6,339,2024-03-27 01:04:23.710920
172.28.0.12,23.60.105.65,45094,443,,,66,1,2024-03-27 01:04:23.711038,0,ndtv,6,52,2024-03-27 01:04:23.711038
23.60.105.65,172.28.0.12,443,45094,,,127,1,2024-03-27 01:04:23.715038,0,ndtv,6,113,2024-03-27 01:04:23.715038
23.60.105.65,172.28.0.12,443,45094,,,97,1,2024-03-27 01:04:23.715089,0,ndtv,6,83,2024-03-27 01:04:23.715089
23.60.105.65,172.28.0.12,443,45094,,,351,1,2024-03-27 01:04:23.715090,0,ndtv,6,337,2024-03-27 01:04:23.715090
23.60.105.65,172.28.0.12,443,45094,,,463,1,2024-03-27 01:04:23.715091,0,ndtv,6,449,2024-03-27 01:04:23.715091
172.28.0.12,23.60.105.65,45094,443,,,97,1,2024-03-27 01:04:23.715108,0,ndtv,6,83,2024-03-27 01:04:23.715108
172.28.0.12,23.60.105.65,45094,443,,,90,1,2024-03-27 01:04:23.715276,0,ndtv,6,76,2024-03-27 01:04:23.715276
172.28.0.12,23.60.105.65,45094,443,,,66,1,2024-03-27 01:04:23.716088,0,ndtv,6,52,2024-03-27 01:04:23.716088
23.60.105.65,172.28.0.12,443,45094,,,66,1,2024-03-27 01:04:23.751313,0,ndtv,6,52,2024-03-27 01:04:23.751313
23.60.105.65,172.28.0.12,443,45094,,,90,1,2024-03-27 01:04:23.751427,0,ndtv,6,76,2024-03-27 01:04:23.751427
172.28.0.12,23.60.105.65,45094,443,,,54,1,2024-03-27 01:04:23.751448,0,ndtv,6,40,2024-03-27 01:04:23.751448
23.60.105.65,172.28.0.12,443,45094,,,66,1,2024-03-27 01:04:23.751471,0,ndtv,6,52,2024-03-27 01:04:23.751471
172.28.0.12,23.60.105.65,45094,443,,,54,1,2024-03-27 01:04:23.751476,0,ndtv,6,40,2024-03-27 01:04:23.751476
23.60.105.65,172.28.0.12,443,45094,,,66,1,2024-03-27 01:04:23.752028,0,ndtv,6,52,2024-03-27 01:04:23.752028
172.28.0.12,23.60.105.65,45094,443,,,54,1,2024-03-27 01:04:23.752032,0,ndtv,6,40,2024-03-27 01:04:23.752032
172.28.0.12,169.254.169.254,,,50490,53,72,1,2024-03-27 01:04:24.729211,0,ndtv,17,58,2024-03-27 01:04:24.729211
172.28.0.12,169.254.169.254,,,58813,53,72,1,2024-03-27 01:04:24.729528,0,ndtv,17,58,2024-03-27 01:04:24.729528
169.254.169.254,172.28.0.12,,,53,50490,88,1,2024-03-27 01:04:24.729865,0,ndtv,17,74,2024-03-27 01:04:24.729865
169.254.169.254,172.28.0.12,,,53,58813,128,1,2024-03-27 01:04:24.729933,0,ndtv,17,114,2024-03-27 01:04:24.729933
172.28.0.12,23.60.105.65,45098,443,,,74,1,2024-03-27 01:04:24.730389,0,ndtv,6,60,2024-03-27 01:04:24.730389
23.60.105.65,172.28.0.12,443,45098,,,74,1,2024-03-27 01:04:24.766463,0,ndtv,6,60,2024-03-27 01:04:24.766463
172.28.0.12,23.60.105.65,45098,443,,,66,1,2024-03-27 01:04:24.766505,0,ndtv,6,52,2024-03-27 01:04:24.766505
172.28.0.12,23.60.105.65,45098,443,,,583,1,2024-03-27 01:04:24.852801,0,ndtv,6,569,2024-03-27 01:04:24.852801
23.60.105.65,172.28.0.12,443,45098,,,66,1,2024-03-27 01:04:24.888857,0,ndtv,6,52,2024-03-27 01:04:24.888857
23.60.105.65,172.28.0.12,443,45098,,,2962,1,2024-03-27 01:04:24.889942,0,ndtv,6,2948,2024-03-27 01:04:24.889942
172.28.0.12,23.60.105.65,45098,443,,,66,1,2024-03-27 01:04:24.889960,0,ndtv,6,52,2024-03-27 01:04:24.889960
