time,frame_number,protocol,source,destination,length,ttl,source_port,destination_port,tcp_flags,dns_query,dns_response,http_request_method,http_host,http_user_agent,ssl_version,tls_handshake_type
1711165579.588386,1,TCP,20.44.10.122,192.168.1.53,66,101,443,52026,16,,,,,,,
1711165579.905862,2,TLS,192.168.1.53,20.189.173.18,90,64,52160,443,25,,,,,,,
1711165580.062334,3,TLS,192.168.1.53,17.57.146.22,106,64,49980,5223,24,,,,,,,
1711165580.483022,4,TLS,20.189.173.18,192.168.1.53,531,98,443,52160,25,,,,,,,
1711165580.483132,5,TCP,192.168.1.53,20.189.173.18,78,64,52160,443,17,,,,,,,
1711165581.994835,6,TLS,20.189.173.18,192.168.1.53,531,98,443,52160,25,,,,,,,
1711165581.99485,7,TLS,3.68.61.181,192.168.1.53,1145,51,443,51764,24,,,,,,,
1711165581.99493,8,TCP,192.168.1.53,20.189.173.18,90,64,52160,443,25,,,,,,,
1711165581.99499,9,TCP,192.168.1.53,20.189.173.18,78,64,52160,443,17,,,,,,,
1711165581.995068,10,TCP,192.168.1.53,3.68.61.181,66,64,51764,443,16,,,,,,,
1711165683.955502,1,TCP,,,86,,52257,443,17,,,,,,,
1711165683.962425,2,TCP,,,86,,443,52257,17,,,,,,,
1711165683.962547,3,TCP,,,86,,52257,443,16,,,,,,,
1711165686.488219,6,DNS,,,93,,61439,53,,app.slack.com,,,,,,
1711165686.488548,7,DNS,,,93,,54079,53,,app.slack.com,,,,,,
1711165686.498701,8,DNS,,,202,,53,61439,,app.slack.com,,,,,,
1711165686.498708,9,DNS,,,187,,53,54079,,app.slack.com,,,,,,
1711165686.501167,10,TCP,192.168.1.53,3.68.175.98,78,64,52262,443,2,,,,,,,
1711165686.519934,11,TCP,3.68.175.98,192.168.1.53,74,52,443,52262,18,,,,,,,
1711165686.520106,12,TCP,192.168.1.53,3.68.175.98,66,64,52262,443,16,,,,,,,
1711165872.795343,1,TLS,192.168.1.53,3.68.61.181,120,64,51764,443,24,,,,,,,
1711165872.816259,2,TCP,3.68.61.181,192.168.1.53,66,51,443,51764,16,,,,,,,
1711165872.816273,3,TLS,3.68.61.181,192.168.1.53,122,51,443,51764,24,,,,,,,
1711165872.816429,4,TCP,192.168.1.53,3.68.61.181,66,64,51764,443,16,,,,,,,
1711165880.3129,9,TLS,23.50.153.34,192.168.1.53,1514,52,443,52345,16,,,,,,,
1711165880.312914,10,TCP,23.50.153.34,192.168.1.53,1514,52,443,52345,16,,,,,,,
1711165880.312916,11,TCP,23.50.153.34,192.168.1.53,1514,52,443,52345,24,,,,,,,
1711165880.312918,12,TCP,23.50.153.34,192.168.1.53,1514,52,443,52345,16,,,,,,,
1711165880.312919,13,TCP,23.50.153.34,192.168.1.53,1514,52,443,52345,16,,,,,,,
1711165880.312922,14,TCP,23.50.153.34,192.168.1.53,1514,52,443,52345,24,,,,,,,
