direction,num_packets,total_bytes,min_pkt_size,max_pkt_size,mean_pkt_size,std_pkt_size,min_iat,max_iat,mean_iat,std_iat,dur,dport,sport,app
downlink,11,7480.0,52.0,2948.0,680.0,901.7834551598294,1e-06,0.077579,0.0163265,0.02466037373443927,0.163265,39584.0,443.0,timesofindia
downlink,11,7479.0,52.0,2948.0,679.9090909090909,901.8351794585809,1e-06,0.076502,0.0172513,0.025470068786933246,0.172513,39596.0,443.0,timesofindia
downlink,12,7542.0,52.0,2948.0,628.5,878.0987208943899,1e-06,0.077155,0.019675454545454548,0.028030972114301122,0.21643,39610.0,443.0,timesofindia
downlink,13,7595.0,52.0,2948.0,584.2307692307693,855.7489072781176,1e-06,0.078819,0.017350083333333332,0.02838204488583434,0.20820099999999997,48746.0,443.0,timesofindia
downlink,14,7646.0,52.0,2948.0,546.1428571428571,834.4218502507136,1e-06,0.077045,0.01818523076923077,0.02628519536150165,0.236408,48760.0,443.0,timesofindia
downlink,14,7648.0,52.0,2948.0,546.2857142857143,834.3604117545947,2e-06,0.07806,0.018005384615384614,0.025154724130662685,0.23407,48772.0,443.0,timesofindia
downlink,14,7646.0,52.0,2948.0,546.1428571428571,834.4218502507136,2e-06,0.114646,0.020199615384615385,0.03392982627801696,0.262595,48788.0,443.0,timesofindia
downlink,12,7531.0,52.0,2948.0,627.5833333333334,878.7636416459137,1e-06,0.078181,0.013927545454545455,0.023369436340500968,0.153203,48796.0,443.0,timesofindia
downlink,12,7542.0,52.0,2948.0,628.5,878.0987208943899,1e-06,0.078715,0.018701181818181815,0.025801911370354643,0.20571299999999998,48804.0,443.0,timesofindia
downlink,12,7532.0,52.0,2948.0,627.6666666666666,878.7207989027246,2e-06,0.072836,0.012538636363636363,0.02172948774947411,0.137925,48816.0,443.0,timesofindia
uplink,14,1439.0,40.0,569.0,102.78571428571429,138.6041283497876,6e-06,0.054309,0.014345307692307694,0.01691899004759945,0.18648900000000002,443.0,39584.0,timesofindia
uplink,14,1439.0,40.0,569.0,102.78571428571429,138.6041283497876,7e-06,0.054018,0.014994153846153848,0.018024942343163233,0.19492400000000001,443.0,39596.0,timesofindia
uplink,16,1531.0,40.0,569.0,95.6875,130.5014527377633,6e-06,0.053968,0.015971333333333334,0.01847813593592889,0.23957,443.0,39610.0,timesofindia
uplink,16,1531.0,40.0,569.0,95.6875,130.5014527377633,7e-06,0.056506,0.015398933333333337,0.018510828373324267,0.23098400000000005,443.0,48746.0,timesofindia
uplink,15,1597.0,40.0,569.0,106.46666666666667,134.3209730813614,6e-06,0.065594,0.018549285714285716,0.022607525613689495,0.25969000000000003,443.0,48760.0,timesofindia
