direction,num_packets,total_bytes,min_pkt_size,max_pkt_size,mean_pkt_size,std_pkt_size,min_iat,max_iat,mean_iat,std_iat,dur,dport,sport,app
downlink,8,608.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,32906.0,53.0,expresscouk
downlink,4,764.0,191.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,33005.0,53.0,indiatimes
downlink,2,296.0,148.0,148.0,148.0,0.0,0.0,0.0,0.0,,0.0,33159.0,53.0,indiatimes
downlink,2,296.0,148.0,148.0,148.0,0.0,0.0,0.0,0.0,,0.0,33236.0,53.0,indiatimes
downlink,5,1025.0,205.0,205.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,33461.0,53.0,indiatimes
downlink,8,928.0,116.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,33599.0,53.0,expresscouk
downlink,6,1980.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,33853.0,53.0,expresscouk
downlink,4,588.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,34428.0,53.0,indiatimes
downlink,5,825.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,34634.0,53.0,indiatimes
downlink,1,165.0,165.0,165.0,165.0,,,,,,0.0,34681.0,53.0,indiatimes
downlink,10,1940.0,194.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,34725.0,53.0,nypost
downlink,5,825.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,35199.0,53.0,indiatimes
downlink,1,165.0,165.0,165.0,165.0,,,,,,0.0,35373.0,53.0,indiatimes
downlink,10,1490.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,35428.0,53.0,nypost
downlink,9,1296.0,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,35464.0,53.0,nypost
downlink,5,1025.0,205.0,205.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,35581.0,53.0,indiatimes
downlink,1,205.0,205.0,205.0,205.0,,,,,,0.0,35868.0,53.0,indiatimes
downlink,2,380.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,,0.0,35926.0,53.0,indiatimes
downlink,2,380.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,,0.0,35961.0,53.0,indiatimes
downlink,6,1020.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,36002.0,53.0,expresscouk
downlink,7,651.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,36154.0,53.0,expresscouk
downlink,9,684.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,36175.0,53.0,nypost
downlink,5,1025.0,205.0,205.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,36326.0,53.0,indiatimes
downlink,8,928.0,116.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,36413.0,53.0,expresscouk
downlink,8,928.0,116.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,36562.0,53.0,expresscouk
downlink,6,1980.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,36643.0,53.0,expresscouk
downlink,9,1296.0,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,36696.0,53.0,nypost
downlink,8,608.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,36963.0,53.0,expresscouk
downlink,9,684.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,37065.0,53.0,nypost
downlink,2,296.0,148.0,148.0,148.0,0.0,0.0,0.0,0.0,,0.0,37139.0,53.0,indiatimes
downlink,3,222.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,37195.0,53.0,indiatimes
downlink,7,651.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,37246.0,53.0,expresscouk
downlink,8,608.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,37362.0,53.0,expresscouk
downlink,5,825.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,37769.0,53.0,indiatimes
downlink,3,222.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,37982.0,53.0,indiatimes
downlink,1,205.0,205.0,205.0,205.0,,,,,,0.0,38230.0,53.0,indiatimes
downlink,7,994.0,142.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,38327.0,53.0,expresscouk
downlink,9,684.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,38330.0,53.0,nypost
downlink,7,532.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,38549.0,53.0,expresscouk
downlink,10,1490.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,38669.0,53.0,nypost
downlink,9,684.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,38730.0,53.0,nypost
downlink,1,205.0,205.0,205.0,205.0,,,,,,0.0,39541.0,53.0,indiatimes
downlink,10,1940.0,194.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,39966.0,53.0,nypost
downlink,10,1490.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,39994.0,53.0,nypost
downlink,8,608.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,40281.0,53.0,expresscouk
downlink,3,441.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,40399.0,53.0,indiatimes
downlink,8,928.0,116.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,40590.0,53.0,expresscouk
downlink,9,1341.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,40727.0,53.0,nypost
downlink,3,342.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,40781.0,53.0,indiatimes
downlink,7,994.0,142.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,40833.0,53.0,expresscouk
downlink,2,296.0,148.0,148.0,148.0,0.0,0.0,0.0,0.0,,0.0,41113.0,53.0,indiatimes
downlink,2,380.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,,0.0,41152.0,53.0,indiatimes
downlink,3,342.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,41181.0,53.0,indiatimes
downlink,10,1940.0,194.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,41267.0,53.0,nypost
downlink,9,684.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,41299.0,53.0,nypost
downlink,9,1296.0,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,41364.0,53.0,nypost
downlink,7,994.0,142.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,41366.0,53.0,expresscouk
downlink,7,651.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,41449.0,53.0,expresscouk
downlink,1,205.0,205.0,205.0,205.0,,,,,,0.0,41694.0,53.0,indiatimes
downlink,1,205.0,205.0,205.0,205.0,,,,,,0.0,41823.0,53.0,indiatimes
downlink,6,1020.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,41829.0,53.0,expresscouk
downlink,5,1025.0,205.0,205.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,41888.0,53.0,indiatimes
downlink,5,825.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,42168.0,53.0,indiatimes
downlink,5,1025.0,205.0,205.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,42317.0,53.0,indiatimes
downlink,2,296.0,148.0,148.0,148.0,0.0,0.0,0.0,0.0,,0.0,42550.0,53.0,indiatimes
downlink,3,342.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,42670.0,53.0,indiatimes
downlink,6,1020.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,42684.0,53.0,expresscouk
downlink,6,1980.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,43130.0,53.0,expresscouk
downlink,3,222.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,43146.0,53.0,indiatimes
downlink,1,165.0,165.0,165.0,165.0,,,,,,0.0,43331.0,53.0,indiatimes
downlink,7,994.0,142.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,43357.0,53.0,expresscouk
downlink,2,380.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,,0.0,43365.0,53.0,indiatimes
downlink,6,1020.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,43378.0,53.0,expresscouk
downlink,3,222.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,43429.0,53.0,indiatimes
downlink,8,608.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,43538.0,53.0,expresscouk
downlink,4,588.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,43673.0,53.0,indiatimes
downlink,10,1940.0,194.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,43714.0,53.0,nypost
downlink,5,850.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,43806.0,53.0,indiatimes
downlink,4,588.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,43813.0,53.0,indiatimes
downlink,1,205.0,205.0,205.0,205.0,,,,,,0.0,43962.0,53.0,indiatimes
downlink,3,222.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,44361.0,53.0,indiatimes
downlink,1,205.0,205.0,205.0,205.0,,,,,,0.0,44390.0,53.0,indiatimes
downlink,6,1020.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,44448.0,53.0,expresscouk
downlink,10,1490.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,44472.0,53.0,nypost
downlink,3,342.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,45036.0,53.0,indiatimes
downlink,2,380.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,,0.0,45225.0,53.0,indiatimes
downlink,2,380.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,,0.0,45378.0,53.0,indiatimes
downlink,8,608.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,45528.0,53.0,expresscouk
downlink,3,222.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,45540.0,53.0,indiatimes
downlink,10,1940.0,194.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,45699.0,53.0,nypost
downlink,3,342.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,45986.0,53.0,indiatimes
downlink,6,1980.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,46048.0,53.0,expresscouk
downlink,4,764.0,191.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,46153.0,53.0,indiatimes
downlink,6,1020.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,46275.0,53.0,expresscouk
downlink,5,825.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,46375.0,53.0,indiatimes
downlink,3,222.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,46603.0,53.0,indiatimes
downlink,7,651.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,46643.0,53.0,expresscouk
downlink,1,205.0,205.0,205.0,205.0,,,,,,0.0,46734.0,53.0,indiatimes
downlink,7,994.0,142.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,46860.0,53.0,expresscouk
downlink,7,994.0,142.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,47135.0,53.0,expresscouk
downlink,5,1025.0,205.0,205.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,47271.0,53.0,indiatimes
downlink,5,1025.0,205.0,205.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,47293.0,53.0,indiatimes
downlink,9,1296.0,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,47337.0,53.0,nypost
downlink,7,994.0,142.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,47572.0,53.0,expresscouk
downlink,4,588.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,47619.0,53.0,indiatimes
downlink,3,342.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,47723.0,53.0,indiatimes
downlink,9,1296.0,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,47760.0,53.0,nypost
downlink,7,651.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,48282.0,53.0,expresscouk
downlink,10,1490.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,48309.0,53.0,nypost
downlink,2,380.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,,0.0,48321.0,53.0,indiatimes
downlink,1,165.0,165.0,165.0,165.0,,,,,,0.0,48627.0,53.0,indiatimes
downlink,6,1020.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,49646.0,53.0,expresscouk
downlink,10,1940.0,194.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,49713.0,53.0,nypost
downlink,8,928.0,116.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,49729.0,53.0,expresscouk
downlink,10,1490.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,50041.0,53.0,nypost
downlink,6,1980.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,50159.0,53.0,expresscouk
downlink,5,1025.0,205.0,205.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,50165.0,53.0,indiatimes
downlink,3,342.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,50328.0,53.0,indiatimes
downlink,10,1940.0,194.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,50415.0,53.0,nypost
downlink,7,651.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,50457.0,53.0,expresscouk
downlink,10,1940.0,194.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,50477.0,53.0,nypost
downlink,5,825.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,50699.0,53.0,indiatimes
downlink,1,148.0,148.0,148.0,148.0,,,,,,0.0,50700.0,53.0,indiatimes
downlink,2,380.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,,0.0,50921.0,53.0,indiatimes
downlink,2,148.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,,0.0,51152.0,53.0,indiatimes
downlink,7,994.0,142.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,51273.0,53.0,expresscouk
downlink,6,1020.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,51502.0,53.0,expresscouk
downlink,2,296.0,148.0,148.0,148.0,0.0,0.0,0.0,0.0,,0.0,51771.0,53.0,indiatimes
downlink,8,928.0,116.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,51802.0,53.0,expresscouk
downlink,5,1025.0,205.0,205.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,52147.0,53.0,indiatimes
downlink,2,296.0,148.0,148.0,148.0,0.0,0.0,0.0,0.0,,0.0,52504.0,53.0,indiatimes
downlink,7,651.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,52644.0,53.0,expresscouk
downlink,8,928.0,116.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,52667.0,53.0,expresscouk
downlink,3,222.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,52674.0,53.0,indiatimes
downlink,8,608.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,52806.0,53.0,expresscouk
downlink,6,1980.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,52925.0,53.0,expresscouk
downlink,10,1490.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,53005.0,53.0,nypost
downlink,10,1490.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,53045.0,53.0,nypost
downlink,10,1490.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,53309.0,53.0,nypost
downlink,4,588.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,53334.0,53.0,indiatimes
downlink,8,928.0,116.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,53498.0,53.0,expresscouk
downlink,4,764.0,191.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,53814.0,53.0,indiatimes
downlink,7,994.0,142.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,53831.0,53.0,expresscouk
downlink,4,588.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,53976.0,53.0,indiatimes
downlink,2,296.0,148.0,148.0,148.0,0.0,0.0,0.0,0.0,,0.0,54013.0,53.0,indiatimes
downlink,8,608.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,54042.0,53.0,expresscouk
downlink,8,928.0,116.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,54046.0,53.0,expresscouk
downlink,4,764.0,191.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,54058.0,53.0,indiatimes
downlink,1,165.0,165.0,165.0,165.0,,,,,,0.0,54190.0,53.0,indiatimes
downlink,6,1020.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,54254.0,53.0,expresscouk
downlink,1,165.0,165.0,165.0,165.0,,,,,,0.0,54302.0,53.0,indiatimes
downlink,8,608.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,54315.0,53.0,expresscouk
downlink,8,608.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,54377.0,53.0,expresscouk
downlink,9,1296.0,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,54574.0,53.0,nypost
downlink,2,296.0,148.0,148.0,148.0,0.0,0.0,0.0,0.0,,0.0,54579.0,53.0,indiatimes
downlink,1,165.0,165.0,165.0,165.0,,,,,,0.0,54596.0,53.0,indiatimes
downlink,5,1025.0,205.0,205.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,54932.0,53.0,indiatimes
downlink,3,342.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,55349.0,53.0,indiatimes
downlink,4,588.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,55417.0,53.0,indiatimes
downlink,4,764.0,191.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,55442.0,53.0,indiatimes
downlink,9,1296.0,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,55554.0,53.0,nypost
downlink,9,684.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,55571.0,53.0,nypost
downlink,6,1980.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,55685.0,53.0,expresscouk
downlink,6,1020.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,55702.0,53.0,expresscouk
downlink,4,764.0,191.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,55734.0,53.0,indiatimes
downlink,9,684.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,55946.0,53.0,nypost
downlink,7,651.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,55951.0,53.0,expresscouk
downlink,10,1940.0,194.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,56024.0,53.0,nypost
downlink,6,558.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,56087.0,53.0,expresscouk
downlink,5,825.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,56295.0,53.0,indiatimes
downlink,9,1296.0,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,56635.0,53.0,nypost
downlink,4,764.0,191.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,56694.0,53.0,indiatimes
downlink,4,588.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,56696.0,53.0,indiatimes
downlink,9,684.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,56721.0,53.0,nypost
downlink,7,651.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,56759.0,53.0,expresscouk
downlink,3,222.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,56778.0,53.0,indiatimes
downlink,4,588.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,57016.0,53.0,indiatimes
downlink,3,342.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,57234.0,53.0,indiatimes
downlink,4,764.0,191.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,57337.0,53.0,indiatimes
downlink,3,342.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,57401.0,53.0,indiatimes
downlink,4,764.0,191.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,57515.0,53.0,indiatimes
downlink,4,764.0,191.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,57550.0,53.0,indiatimes
downlink,10,1940.0,194.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,57569.0,53.0,nypost
downlink,1,165.0,165.0,165.0,165.0,,,,,,0.0,57615.0,53.0,indiatimes
downlink,2,380.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,,0.0,57681.0,53.0,indiatimes
downlink,1,205.0,205.0,205.0,205.0,,,,,,0.0,57721.0,53.0,indiatimes
downlink,9,1296.0,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,57736.0,53.0,nypost
downlink,1,165.0,165.0,165.0,165.0,,,,,,0.0,57882.0,53.0,indiatimes
downlink,6,1980.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,57904.0,53.0,expresscouk
