direction,num_packets,total_bytes,min_pkt_size,max_pkt_size,mean_pkt_size,std_pkt_size,min_iat,max_iat,mean_iat,std_iat,dur,dport,sport,app
downlink,6,1020.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,32880.0,53.0,ndtv
downlink,1,165.0,165.0,165.0,165.0,,,,,,0.0,33063.0,53.0,indiatimes
downlink,2,296.0,148.0,148.0,148.0,0.0,0.0,0.0,0.0,,0.0,33106.0,53.0,washingtonpost
downlink,6,1980.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,33627.0,53.0,ndtv
downlink,3,342.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,35587.0,53.0,ndtv
downlink,6,1020.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,35694.0,53.0,ndtv
downlink,6,1980.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,35796.0,53.0,ndtv
downlink,9,684.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,35998.0,53.0,ndtv
downlink,1,165.0,165.0,165.0,165.0,,,,,,0.0,36382.0,53.0,indiatimes
downlink,4,588.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,36430.0,53.0,ndtv
downlink,2,380.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,,0.0,37579.0,53.0,washingtonpost
downlink,2,296.0,148.0,148.0,148.0,0.0,0.0,0.0,0.0,,0.0,38157.0,53.0,washingtonpost
downlink,8,928.0,116.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,38818.0,53.0,ndtv
downlink,5,825.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,39011.0,53.0,ndtv
downlink,1,205.0,205.0,205.0,205.0,,,,,,0.0,39237.0,53.0,indiatimes
downlink,4,764.0,191.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,39709.0,53.0,ndtv
downlink,10,1490.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,40406.0,53.0,ndtv
downlink,4,764.0,191.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,41205.0,53.0,ndtv
downlink,7,763.0,109.0,109.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,41525.0,53.0,ndtv
downlink,7,994.0,142.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,42579.0,53.0,ndtv
downlink,5,1305.0,261.0,261.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,42995.0,53.0,ndtv
downlink,6,1980.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,43105.0,53.0,ndtv
downlink,9,1296.0,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,43188.0,53.0,ndtv
downlink,5,825.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,43357.0,53.0,ndtv
downlink,5,850.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,43554.0,53.0,ndtv
downlink,10,1490.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,44561.0,53.0,ndtv
downlink,7,994.0,142.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,44691.0,53.0,ndtv
downlink,1,165.0,165.0,165.0,165.0,,,,,,0.0,45227.0,53.0,indiatimes
downlink,10,1490.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,45586.0,53.0,ndtv
downlink,3,222.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,46798.0,53.0,ndtv
downlink,5,1305.0,261.0,261.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,47000.0,53.0,ndtv
downlink,7,994.0,142.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,47496.0,53.0,ndtv
downlink,9,1341.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,47962.0,53.0,ndtv
downlink,1,205.0,205.0,205.0,205.0,,,,,,0.0,48048.0,53.0,indiatimes
downlink,10,1940.0,194.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,48286.0,53.0,ndtv
downlink,2,380.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,,0.0,48375.0,53.0,washingtonpost
downlink,8,928.0,116.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,49065.0,53.0,ndtv
downlink,5,825.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,49505.0,53.0,ndtv
downlink,9,1296.0,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,49968.0,53.0,ndtv
downlink,3,222.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,50490.0,53.0,ndtv
downlink,9,684.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,50709.0,53.0,ndtv
downlink,8,928.0,116.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,51171.0,53.0,ndtv
downlink,8,608.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,51439.0,53.0,ndtv
downlink,5,1305.0,261.0,261.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,51552.0,53.0,ndtv
downlink,6,1020.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,51556.0,53.0,ndtv
downlink,8,608.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,52730.0,53.0,ndtv
downlink,6,654.0,109.0,109.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,52915.0,53.0,ndtv
downlink,10,1940.0,194.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,53042.0,53.0,ndtv
downlink,2,380.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,,0.0,53361.0,53.0,washingtonpost
downlink,8,608.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,53378.0,53.0,ndtv
downlink,7,763.0,109.0,109.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,53432.0,53.0,ndtv
downlink,3,441.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,53692.0,53.0,ndtv
downlink,8,608.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,53788.0,53.0,ndtv
downlink,4,588.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,54057.0,53.0,ndtv
downlink,2,296.0,148.0,148.0,148.0,0.0,0.0,0.0,0.0,,0.0,55529.0,53.0,washingtonpost
downlink,3,342.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,55959.0,53.0,ndtv
downlink,9,684.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,56116.0,53.0,ndtv
downlink,4,660.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,57651.0,53.0,ndtv
downlink,3,222.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,57927.0,53.0,ndtv
downlink,4,764.0,191.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,58094.0,53.0,ndtv
downlink,3,342.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,58813.0,53.0,ndtv
downlink,2,148.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,,0.0,58826.0,53.0,washingtonpost
downlink,1,148.0,148.0,148.0,148.0,,,,,,0.0,59360.0,53.0,indiatimes
downlink,4,588.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,59380.0,53.0,ndtv
downlink,7,763.0,109.0,109.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,59819.0,53.0,ndtv
downlink,9,1296.0,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,60099.0,53.0,ndtv
downlink,10,1940.0,194.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,60244.0,53.0,ndtv
downlink,7,532.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,60782.0,53.0,ndtv
downlink,1,205.0,205.0,205.0,205.0,,,,,,0.0,60835.0,53.0,indiatimes
uplink,6,378.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,32880.0,ndtv
uplink,1,64.0,64.0,64.0,64.0,,,,,,0.0,53.0,33063.0,indiatimes
uplink,2,136.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,,0.0,53.0,33106.0,washingtonpost
uplink,6,378.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,33627.0,ndtv
